0	35	28	38	15	40	30	34	23	33	16	41	15	39	28	24	52	24	23	33	21	25	48	24	28	38	35	35	41	45	34	46	25	30	29	39	34	40	28	31
35	0	37	22	19	24	39	17	31	28	13	12	24	16	9	5	15	62	24	19	13	24	28	18	28	23	6	33	36	20	18	24	34	20	16	39	45	26	20	21
28	37	0	5	22	35	23	9	9	23	37	38	19	21	51	20	12	42	45	22	27	7	7	37	29	25	34	17	43	16	18	9	47	7	12	12	38	35	10	11
38	22	5	0	11	17	19	7	24	17	16	16	25	15	49	31	23	52	47	38	27	7	12	22	46	11	22	9	37	33	25	11	50	9	25	13	12	34	24	36
15	19	22	11	0	21	6	19	11	12	24	26	7	24	20	25	18	15	14	13	39	22	21	15	35	33	24	19	61	13	26	20	21	24	14	21	18	21	25	19
40	24	35	17	21	0	13	16	23	16	8	10	23	11	10	21	12	51	11	7	29	22	19	21	39	24	16	34	27	7	25	17	24	22	10	38	26	19	18	10
30	39	23	19	6	13	0	21	13	7	18	27	10	19	33	22	10	27	18	19	37	24	20	19	37	25	36	13	42	12	19	11	22	25	15	11	18	20	11	11
34	17	9	7	19	16	21	0	11	12	36	21	17	23	33	22	15	51	38	23	34	7	7	38	21	11	27	12	28	23	22	8	47	8	6	10	17	29	22	29
23	31	9	24	11	23	13	11	0	10	35	46	12	26	33	40	18	49	28	35	54	14	22	32	27	32	33	22	28	29	16	17	38	19	14	21	13	21	19	18
33	28	23	17	12	16	7	12	10	0	23	41	8	35	36	44	29	39	34	31	26	26	22	17	53	37	20	23	57	35	17	15	31	19	20	21	6	45	14	11
16	13	37	16	24	8	18	36	35	23	0	6	24	8	16	23	6	43	19	7	25	23	18	26	35	24	25	24	39	5	31	16	22	18	13	19	31	21	25	22
41	12	38	16	26	10	27	21	46	41	6	0	22	10	19	26	12	42	17	10	36	20	25	24	33	19	9	36	22	12	25	13	30	18	12	23	31	13	15	12
15	24	19	25	7	23	10	17	12	8	24	22	0	15	37	29	17	28	24	11	24	15	22	22	27	20	37	8	26	18	25	16	24	21	26	12	12	31	17	17
39	16	21	15	24	11	19	23	26	35	8	10	15	0	18	11	5	18	17	12	36	11	12	25	19	24	12	15	19	7	14	21	27	17	7	21	17	25	5	12
28	9	51	49	20	10	33	33	33	36	16	19	37	18	0	10	19	28	11	15	10	32	33	17	12	47	12	46	22	22	48	38	16	37	22	21	31	12	32	25
24	5	20	31	25	21	22	22	40	44	23	26	29	11	10	0	19	38	25	26	19	26	34	21	24	17	12	23	36	23	18	16	24	36	34	52	26	8	21	37
52	15	12	23	18	12	10	15	18	29	6	12	17	5	19	19	0	50	22	12	36	15	17	35	39	17	17	12	33	12	11	22	19	25	10	18	24	23	11	18
24	62	42	52	15	51	27	51	49	39	43	42	28	18	28	38	50	0	11	24	36	36	22	21	39	29	25	27	54	17	48	36	24	52	16	25	37	27	33	24
23	24	45	47	14	11	18	38	28	34	19	17	24	17	11	25	22	11	0	32	20	50	32	27	36	32	25	29	34	10	21	27	34	46	19	45	23	31	19	30
33	19	22	38	13	7	19	23	35	31	7	10	11	12	15	26	12	24	32	0	37	11	7	16	34	5	11	22	31	7	14	5	26	15	10	19	32	11	6	6
21	13	27	27	39	29	37	34	54	26	25	36	24	36	10	19	36	36	20	37	0	34	23	31	12	38	6	30	10	17	43	30	36	20	25	39	48	21	25	31
25	24	7	7	22	22	24	7	14	26	23	20	15	11	32	26	15	36	50	11	34	0	8	42	26	19	16	24	34	11	15	10	21	8	9	23	27	30	13	20
48	28	7	12	21	19	20	7	22	22	18	25	22	12	33	34	17	22	32	7	23	8	0	29	51	17	26	24	28	13	22	10	48	12	11	25	22	29	8	23
24	18	37	22	15	21	19	38	32	17	26	24	22	25	17	21	35	21	27	16	31	42	29	0	38	24	11	29	31	30	44	31	16	32	21	31	28	25	17	38
28	28	29	46	35	39	37	21	27	53	35	33	27	19	12	24	39	39	36	34	12	26	51	38	0	36	7	52	9	22	38	39	30	29	31	46	49	10	33	35
38	23	25	11	33	24	25	11	32	37	24	19	20	24	47	17	17	29	32	5	38	19	17	24	36	0	27	11	35	29	7	6	42	9	25	12	25	36	22	31
35	6	34	22	24	16	36	27	33	20	25	9	37	12	12	12	17	25	25	11	6	16	26	11	7	27	0	15	16	9	22	13	29	20	16	29	29	12	15	21
35	33	17	9	19	34	13	12	22	23	24	36	8	15	46	23	12	27	29	22	30	24	24	29	52	11	15	0	27	26	12	20	32	9	22	12	6	38	17	38
41	36	43	37	61	27	42	28	28	57	39	22	26	19	22	36	33	54	34	31	10	34	28	31	9	35	16	27	0	37	30	38	36	38	22	56	55	25	22	37
45	20	16	33	13	7	12	23	29	35	5	12	18	7	22	23	12	17	10	7	17	11	13	30	22	29	9	26	37	0	16	19	24	19	8	34	38	26	8	22
34	18	18	25	26	25	19	22	16	17	31	25	25	14	48	18	11	48	21	14	43	15	22	44	38	7	22	12	30	16	0	8	28	11	6	9	24	36	23	25
46	24	9	11	20	17	11	8	17	15	16	13	16	21	38	16	22	36	27	5	30	10	10	31	39	6	13	20	38	19	8	0	43	6	8	21	29	30	11	24
25	34	47	50	21	24	22	47	38	31	22	30	24	27	16	24	19	24	34	26	36	21	48	16	30	42	29	32	36	24	28	43	0	32	38	19	18	11	18	30
30	20	7	9	24	22	25	8	19	19	18	18	21	17	37	36	25	52	46	15	20	8	12	32	29	9	20	9	38	19	11	6	32	0	27	8	16	32	36	31
29	16	12	25	14	10	15	6	14	20	13	12	26	7	22	34	10	16	19	10	25	9	11	21	31	25	16	22	22	8	6	8	38	27	0	24	29	24	12	18
39	39	12	13	21	38	11	10	21	21	19	23	12	21	21	52	18	25	45	19	39	23	25	31	46	12	29	12	56	34	9	21	19	8	24	0	19	51	17	25
