0	34	22	28	40	40	28	26	24	28	24	25	7	18	38	22	22	30	19	40
34	0	38	31	8	29	18	9	36	14	20	37	28	23	11	33	44	40	33	17
22	38	0	9	20	9	20	18	16	21	29	9	15	9	10	9	12	47	18	20
28	31	9	0	24	21	21	23	23	24	20	6	29	5	12	6	23	39	10	19
40	8	20	24	0	31	17	5	46	19	15	18	25	31	18	40	27	50	26	16
40	29	9	21	31	0	33	37	6	31	24	27	24	7	20	13	19	37	21	17
28	18	20	21	17	33	0	6	37	17	20	21	30	26	16	37	35	39	26	19
26	9	18	23	5	37	6	0	33	19	14	29	29	24	13	21	39	47	23	16
24	36	16	23	46	6	37	33	0	18	27	20	28	18	18	5	29	51	25	22
28	14	21	24	19	31	17	19	18	0	9	40	11	32	11	32	25	25	23	16
24	20	29	20	15	24	20	14	27	9	0	28	10	40	16	29	29	36	23	12
25	37	9	6	18	27	21	29	20	40	28	0	27	19	9	14	18	33	20	9
7	28	15	29	25	24	30	29	28	11	10	27	0	21	23	17	20	22	15	17
18	23	9	5	31	7	26	24	18	32	40	19	21	0	16	7	12	46	14	24
38	11	10	12	18	20	16	13	18	11	16	9	23	16	0	11	26	21	15	8
22	33	9	6	40	13	37	21	5	32	29	14	17	7	11	0	15	28	12	28
22	44	12	23	27	19	35	39	29	25	29	18	20	12	26	15	0	32	23	25
30	40	47	39	50	37	39	47	51	25	36	33	22	46	21	28	32	0	17	18
19	33	18	10	26	21	26	23	25	23	23	20	15	14	15	12	23	17	0	21
40	17	20	19	16	17	19	16	22	16	12	9	17	24	8	28	25	18	21	0
