0	5	30	39	11	30	15	31	10	33	38	4	15	31	18	6	18	4	21	17	20	28	11	32	16	5	36	8	19	42	10	12	19	38	32	21	38	30	41	28	5	6	11	28	20	23	25	9	6	39	18	33	32	27	27	12	18	49	53	59	54	46	50	50	49	44	44	41	47	43	36	45	46	44	30	62	53	52	46	60	33	45	52	38	41	52	48	41	40	29	44	46	31	43	49	53	15	11	19	18	
5	0	26	35	16	28	10	26	11	29	34	9	9	27	13	7	13	2	16	22	15	23	16	27	21	7	32	6	24	39	11	13	14	33	27	25	34	25	37	24	6	10	12	23	15	21	22	13	7	36	22	31	27	22	25	6	23	50	53	59	52	44	50	47	49	42	49	37	45	41	36	46	48	45	35	66	55	52	47	59	32	49	50	36	39	56	45	39	37	34	44	44	33	43	47	53	20	6	23	23	
30	26	0	11	38	18	18	6	36	11	12	31	18	16	12	28	16	27	14	40	11	8	38	3	36	33	8	26	36	15	37	39	13	9	3	38	11	4	13	10	31	31	38	6	11	24	13	36	30	12	44	27	3	7	20	20	41	43	45	44	35	32	42	26	40	28	48	19	28	25	32	39	47	42	40	52	47	44	44	43	28	51	36	17	31	50	31	25	23	43	37	27	38	36	27	45	38	23	41	41	
39	35	11	0	47	24	27	9	44	16	16	40	27	21	21	37	23	36	20	48	20	12	47	8	42	42	3	32	42	6	45	46	22	2	8	44	16	11	7	18	38	40	46	12	21	30	21	45	36	15	53	32	8	14	26	29	50	46	48	45	29	34	44	20	43	30	52	25	30	27	37	41	51	44	45	53	49	46	48	43	34	55	39	23	34	53	33	27	25	47	40	28	42	38	21	47	47	30	48	50	
11	16	38	47	0	38	25	39	8	40	46	7	22	39	29	10	28	15	31	18	28	36	4	39	20	9	44	18	23	50	8	9	29	45	39	24	46	38	48	35	13	11	9	36	27	30	33	3	15	47	7	37	39	35	35	22	14	51	55	62	61	51	53	57	53	51	46	48	54	50	41	50	47	47	33	63	54	55	48	64	37	46	57	45	47	53	54	48	46	30	49	53	34	47	56	56	18	21	18	15	
30	28	18	24	38	0	19	23	38	8	9	31	19	2	15	28	18	29	17	26	13	22	38	20	20	33	24	30	19	18	39	41	15	23	20	21	9	21	17	10	33	28	40	22	13	8	6	36	34	11	37	10	20	20	3	22	28	29	33	38	29	22	30	21	28	20	33	11	22	18	18	25	32	27	25	46	34	32	29	37	12	36	29	10	18	36	23	17	15	28	23	21	23	22	21	32	26	25	25	28	
15	10	18	27	25	19	0	18	20	20	25	18	4	18	6	15	5	11	8	27	7	16	25	19	24	17	24	12	26	30	21	23	6	25	19	28	25	17	28	15	16	18	22	16	7	15	13	23	16	26	31	24	19	14	17	4	28	43	47	52	45	36	44	38	42	35	48	28	38	34	32	39	46	41	34	60	48	46	43	51	26	50	43	27	32	51	38	31	30	37	37	36	32	36	38	46	25	7	28	28	
31	26	6	9	39	23	18	0	35	15	16	32	19	21	13	29	14	27	11	41	11	3	39	5	38	33	6	23	40	15	36	37	13	7	5	42	16	2	14	15	29	32	37	3	15	29	18	37	27	16	45	32	5	5	25	21	42	48	50	48	39	36	47	28	45	33	53	24	32	29	37	43	52	47	45	56	51	49	49	47	33	56	41	22	36	55	35	29	27	48	42	31	43	41	30	49	39	21	43	42	
10	11	36	44	8	38	20	35	0	40	45	9	20	38	24	15	23	9	25	24	25	33	7	38	26	7	41	12	29	49	2	2	25	43	38	30	45	35	48	35	7	16	1	34	26	31	32	5	8	46	14	42	38	32	36	17	20	58	62	68	63	55	60	58	58	53	52	48	56	52	46	55	53	53	39	69	60	62	54	70	42	52	61	47	50	60	56	49	48	36	53	55	40	52	58	62	24	16	24	22	
33	29	11	16	40	8	20	15	40	0	5	33	21	6	16	31	19	31	18	32	15	15	40	13	26	36	17	31	26	11	40	42	16	16	13	27	5	14	10	6	35	34	41	14	14	14	8	38	35	7	43	17	13	12	10	24	35	34	36	36	27	22	32	19	31	18	39	10	20	16	23	29	37	32	31	44	37	34	34	35	18	41	27	8	22	41	21	15	13	33	28	19	28	26	19	35	32	26	32	34	
