0	39	34	4	46	11	2	45	13	12	27	32	37	24	35	45	23	36	14	7	7	6	34	6	47	27	21	4	7	40	12	3	5	3	14	40	22	40	40	46	20	27	19	44	2	38	14	22	29	48	47	42	51	29	41	17	39	49	21	27	33	47	41	41	44	18	35	29	24	44	36	39	44	45	44	
39	0	5	39	11	31	38	10	33	38	15	30	6	18	4	17	24	18	28	32	32	36	8	42	12	22	19	38	32	21	38	39	39	41	42	5	20	5	6	11	20	23	25	9	41	6	27	27	12	18	59	49	58	54	50	50	49	44	41	47	36	46	44	30	46	38	52	48	41	29	44	31	53	15	19	
34	5	0	35	16	26	34	11	29	34	10	28	7	13	2	22	20	16	23	27	27	32	6	39	13	20	14	33	27	25	34	35	35	37	39	6	15	6	10	12	15	21	22	13	36	7	22	25	6	23	61	50	62	52	50	47	49	49	37	45	36	48	45	35	47	35	50	45	39	34	44	33	53	20	23	
4	39	35	0	47	9	1	44	16	16	26	36	37	23	36	48	27	37	12	8	8	3	32	6	46	31	22	2	8	44	16	1	9	7	17	38	21	38	40	46	21	30	21	45	6	36	14	26	29	50	50	46	55	29	44	20	43	52	25	30	37	51	44	45	48	22	39	33	27	47	40	42	47	47	48	
46	11	16	47	0	39	46	8	40	46	26	34	10	28	15	18	31	25	36	39	39	44	18	50	9	30	29	45	39	24	46	47	47	48	49	13	30	13	11	9	27	30	33	3	48	15	35	35	22	14	60	51	59	61	53	57	53	46	48	54	41	47	47	33	48	45	57	54	48	30	49	34	56	18	18	
11	31	26	9	39	0	11	35	15	16	17	35	29	14	27	41	24	31	3	5	5	6	23	15	37	29	13	7	5	42	16	10	14	14	21	29	12	29	32	37	15	29	18	37	13	27	5	25	21	42	52	48	57	39	47	28	45	53	24	32	37	52	47	45	49	21	41	35	29	48	42	43	49	39	43	
2	38	34	1	46	11	0	44	15	14	26	34	36	24	35	47	25	36	13	7	7	5	34	6	47	29	21	3	7	42	14	1	7	5	16	39	22	39	39	46	20	29	20	44	4	38	14	25	28	49	49	44	53	30	43	20	41	51	24	29	36	50	43	43	46	21	37	32	26	46	38	41	46	46	46	
45	10	11	44	8	35	44	0	40	45	20	39	15	23	9	24	31	27	33	38	38	41	12	49	2	31	25	43	38	30	45	45	46	48	50	7	25	7	16	1	26	31	32	5	47	8	32	36	17	20	67	58	65	63	60	58	58	52	48	56	46	53	53	39	54	46	61	56	49	36	53	40	62	24	24	
13	33	29	16	40	15	15	40	0	5	22	20	31	19	31	32	11	23	15	13	13	17	31	11	42	15	16	16	13	27	5	16	8	10	11	35	17	35	34	41	14	14	8	38	11	35	12	10	24	35	40	34	45	27	32	19	31	39	10	20	23	37	32	31	34	7	27	21	15	33	28	28	35	32	32	
12	38	34	16	46	16	14	45	5	0	27	20	36	24	36	34	16	25	18	12	12	16	36	10	47	16	22	15	12	29	1	15	7	9	6	40	22	40	36	46	19	16	13	43	10	40	17	12	29	37	37	32	41	23	31	14	29	39	10	17	23	37	31	31	34	7	25	19	14	33	26	28	34	34	33	
27	15	10	26	26	17	26	20	22	27	0	28	17	3	12	30	14	20	14	20	20	22	9	32	22	18	6	24	20	31	27	26	28	30	32	13	5	13	20	21	8	18	15	23	29	13	14	19	5	31	58	46	59	47	46	40	45	50	31	40	35	49	44	37	46	28	45	41	34	39	40	34	49	28	31	
32	30	28	36	34	35	34	39	20	20	28	0	26	28	30	19	16	14	34	32	32	36	31	30	41	11	27	35	32	12	20	35	27	29	21	35	28	35	24	40	23	11	19	35	30	35	32	13	27	22	35	23	36	29	24	27	22	26	17	22	11	25	20	13	22	15	25	22	16	15	17	11	26	20	18	
37	6	7	37	10	29	36	15	31	36	17	26	0	19	6	16	22	16	27	30	30	34	11	40	17	20	20	36	30	19	36	37	37	39	40	10	21	10	3	16	18	21	23	11	39	11	25	25	12	17	58	46	56	52	47	48	46	43	39	45	33	44	42	29	43	36	49	46	39	28	41	29	50	14	18	
24	18	13	23	28	14	24	23	19	24	3	28	19	0	14	31	15	21	11	17	17	20	12	29	25	19	3	21	17	32	24	24	25	27	29	16	2	16	22	24	5	20	12	26	26	16	11	16	8	32	56	44	57	45	45	37	43	48	28	38	33	47	42	39	44	25	43	39	32	41	38	36	47	29	33	
35	4	2	36	15	27	35	9	31	36	12	30	6	14	0	21	22	18	25	28	28	33	5	40	12	22	15	35	28	24	36	36	37	39	41	5	16	5	9	11	16	22	23	12	38	5	23	26	8	21	63	51	61	54	52	48	50	48	39	47	38	49	46	34	48	36	52	47	40	32	46	34	54	19	22	
46	17	22	49	18	41	48	24	33	35	30	19	16	31	21	0	25	15	38	41	41	46	25	44	26	18	31	47	41	8	35	49	41	42	37	22	32	22	13	26	29	19	31	19	44	23	37	23	26	4	44	35	42	46	37	45	37	29	35	40	25	30	30	16	31	33	41	38	34	13	32	17	39	2	1	
23	24	20	27	31	24	25	31	11	16	14	16	22	15	22	24	0	15	22	23	23	27	23	21	33	7	15	26	23	20	16	26	18	20	21	26	16	26	24	32	10	6	8	29	21	27	21	6	15	27	44	32	45	34	33	29	31	37	19	27	21	35	30	26	32	16	32	27	20	28	26	24	35	24	24	
36	18	16	37	25	31	36	27	23	25	20	14	16	21	18	16	15	0	29	32	32	36	19	34	29	9	22	36	32	11	25	37	31	33	28	22	23	22	15	28	19	9	21	24	34	23	27	13	16	16	45	34	46	40	34	36	33	33	27	33	20	32	29	19	31	24	36	33	27	20	28	16	37	13	15	
14	28	23	12	36	3	13	33	15	18	14	34	27	11	25	39	22	29	0	8	8	9	20	18	34	27	10	10	8	39	18	13	17	17	24	26	9	26	30	34	12	27	16	34	16	24	3	23	18	39	55	48	59	41	47	31	45	53	24	35	37	52	47	45	49	21	41	35	30	48	42	43	50	37	40	
7	32	27	8	39	5	7	38	13	12	20	32	30	17	28	41	23	32	8	0	1	5	27	13	40	27	14	6	1	40	12	8	10	10	17	33	15	33	32	39	13	27	16	37	9	31	7	22	22	42	49	44	54	36	43	25	42	51	22	29	35	49	43	43	46	19	38	32	26	45	38	40	46	39	43	
7	32	27	8	39	5	7	38	13	12	20	32	30	17	28	41	23	32	8	1	0	5	27	13	40	27	14	6	1	40	12	8	10	10	17	33	15	33	32	39	13	27	16	37	9	31	7	22	22	42	49	44	54	36	43	25	42	51	22	29	35	49	43	43	46	19	38	32	26	45	38	40	46	39	43	
6	36	32	3	44	6	5	41	17	16	22	36	34	20	33	46	27	36	9	5	5	0	29	9	43	31	19	1	5	44	16	4	11	9	19	35	18	35	37	42	18	31	21	42	8	33	11	27	26	47	52	48	57	33	47	23	45	54	26	32	39	53	47	47	50	23	41	35	29	49	42	44	49	44	47	
34	8	6	32	18	23	34	12	31	36	9	31	11	12	5	25	23	19	20	27	27	29	0	38	14	23	15	30	27	28	36	33	37	37	41	6	14	6	14	14	17	23	23	16	36	4	20	28	9	26	64	52	64	55	53	49	52	52	39	48	39	51	48	38	50	37	53	48	41	36	47	35	56	23	26	
6	42	39	6	50	15	6	49	11	10	32	30	40	29	40	43	21	34	18	13	13	9	38	0	52	25	26	8	13	38	10	5	3	3	11	44	27	44	43	51	24	25	17	48	4	42	20	21	33	46	44	40	49	24	39	15	37	46	19	24	31	45	39	39	42	16	33	27	21	41	34	36	41	43	42	
47	12	13	46	9	37	47	2	42	47	22	41	17	25	12	26	33	29	34	40	40	43	14	52	0	33	27	44	40	32	47	47	48	50	52	9	27	9	18	1	28	34	35	8	49	10	34	38	19	22	69	60	67	65	62	60	61	54	51	58	48	55	55	41	57	48	63	59	52	39	56	42	65	27	27	
27	22	20	31	30	29	29	31	15	16	18	11	20	19	22	18	7	9	27	27	27	31	23	25	33	0	20	30	27	13	16	30	22	24	20	27	21	27	20	32	15	1	12	28	25	27	25	5	17	20	43	31	43	32	31	28	29	33	18	25	19	33	28	20	30	15	30	25	18	22	25	17	34	18	17	
21	19	14	22	29	13	21	25	16	22	6	27	20	3	15	32	15	22	10	14	14	19	15	26	27	20	0	20	14	32	22	22	23	24	26	19	1	19	23	26	5	20	9	27	23	19	9	16	9	32	55	43	56	42	44	34	42	48	25	36	32	46	41	39	43	22	42	36	30	41	37	36	46	30	33	
4	38	33	2	45	7	3	43	16	15	24	35	36	21	35	47	26	36	10	6	6	1	30	8	44	30	20	0	6	43	15	2	9	8	18	36	19	36	39	44	19	30	20	43	6	34	12	25	28	48	51	46	56	31	45	22	43	53	24	31	38	52	45	45	49	22	40	34	28	48	40	43	48	45	47	
7	32	27	8	39	5	7	38	13	12	20	32	30	17	28	41	23	32	8	1	1	5	27	13	40	27	14	6	0	40	12	8	10	10	17	33	15	33	32	39	13	27	16	37	9	31	7	22	22	42	49	44	54	36	43	25	41	51	22	29	35	49	43	43	46	19	38	32	26	45	38	40	46	39	43	
40	20	24	44	23	40	42	29	27	29	28	12	18	30	23	8	20	11	37	40	40	44	27	38	32	13	30	43	40	0	29	43	35	37	30	25	31	25	15	31	28	13	25	25	38	25	35	18	24	11	39	29	39	40	31	38	31	26	28	34	19	26	24	10	26	25	35	32	28	9	26	11	33	9	7	
12	38	34	16	46	16	14	45	5	1	27	20	36	24	36	34	16	25	18	12	12	16	36	10	47	16	22	15	12	29	0	15	7	9	6	40	22	40	36	46	19	16	13	43	10	40	17	12	29	37	37	32	41	23	31	14	29	39	10	17	23	38	31	31	34	7	25	20	14	34	26	28	34	34	33	
3	39	35	1	47	10	1	45	16	15	26	35	37	24	36	48	26	37	13	8	8	4	33	5	47	30	22	2	8	43	15	0	8	7	16	39	22	39	40	46	21	30	21	45	5	37	15	26	29	50	49	45	54	29	44	20	42	52	24	29	36	50	44	44	47	21	38	32	26	47	39	42	47	47	47	
5	39	35	9	47	14	7	46	8	7	28	27	37	25	37	40	18	31	17	10	10	11	37	3	48	22	23	9	10	35	7	8	0	2	10	41	24	41	40	47	20	22	14	45	3	41	17	17	30	43	42	38	47	27	37	15	35	44	16	22	29	43	37	37	40	14	31	25	19	39	32	34	39	40	39	
3	41	37	7	48	14	5	48	10	9	30	29	39	27	39	41	20	33	17	10	10	9	37	3	50	24	24	8	10	37	9	7	2	0	10	43	25	43	42	49	22	23	16	46	1	41	18	19	32	44	43	39	48	26	38	14	36	45	18	23	30	44	38	38	41	15	32	26	20	40	33	35	40	41	41	
14	42	39	17	49	21	16	50	11	6	32	21	40	29	41	36	21	28	24	17	17	19	41	11	52	20	26	18	17	30	6	16	10	10	0	45	27	45	39	51	24	19	18	48	12	45	22	15	34	39	35	31	40	22	30	10	28	38	10	15	22	36	30	30	33	7	24	18	12	33	25	28	32	36	36	
40	5	6	38	13	29	39	7	35	40	13	35	10	16	5	22	26	22	26	33	33	35	6	44	9	27	19	36	33	26	40	39	41	43	45	0	18	1	11	8	21	27	27	10	42	3	26	31	12	22	64	54	63	58	55	53	54	49	43	51	41	51	49	35	51	41	56	52	45	34	49	36	58	20	24	
22	20	15	21	30	12	22	25	17	22	5	28	21	2	16	33	16	23	9	15	15	18	14	27	27	21	1	19	15	33	22	22	24	25	27	18	0	18	24	26	6	21	10	28	24	18	9	17	10	33	56	44	57	43	45	35	43	48	26	37	33	47	42	40	44	23	43	37	31	42	38	37	47	30	34	
