0	43	36	29	11	24	15	21	17	24	35	21	22	41	20	34	46	39	19	45	30	27	27	15	59	35	45	34	56	44
43	0	35	17	30	16	22	34	28	24	20	7	33	24	10	8	18	57	11	13	13	32	27	20	24	20	10	26	32	11
36	35	0	12	21	15	14	7	7	18	29	19	16	16	45	23	22	25	28	11	36	5	12	23	47	14	24	17	25	13
29	17	12	0	12	34	24	11	10	19	26	36	20	19	47	47	10	43	33	15	41	11	5	43	32	11	25	7	44	25
11	30	21	12	0	29	8	18	9	10	19	15	8	20	33	24	16	24	23	18	22	10	18	18	34	22	33	17	32	24
24	16	15	34	29	0	18	18	24	19	7	11	21	11	12	21	10	45	21	6	32	12	23	19	28	18	14	26	26	5
15	22	14	24	8	18	0	15	7	10	19	27	12	13	24	34	23	35	21	19	40	20	17	19	39	11	26	12	39	20
21	34	7	11	18	18	15	0	14	13	35	29	32	12	25	20	23	50	35	13	46	6	10	40	26	9	20	9	47	22
17	28	7	10	9	24	7	14	0	11	36	33	10	27	33	34	32	24	21	25	44	12	21	36	42	16	24	13	26	33
24	24	18	19	10	19	10	13	11	0	24	42	9	21	41	22	30	46	19	26	51	12	11	34	50	33	29	21	32	18
35	20	29	26	19	7	19	35	36	24	0	10	16	11	23	13	10	20	22	10	30	18	14	24	24	10	17	27	27	10
21	7	19	36	15	11	27	29	33	42	10	0	10	6	16	12	8	30	15	5	29	15	17	27	26	23	8	33	30	11
22	33	16	20	8	21	12	32	10	9	16	10	0	13	24	18	12	16	31	16	21	12	23	33	27	18	16	6	30	14
41	24	16	19	20	11	13	12	27	21	11	6	13	0	11	13	7	32	22	8	18	16	10	26	27	23	16	14	22	11
20	10	45	47	33	12	24	25	33	41	23	16	24	11	0	9	22	54	11	11	13	31	23	21	21	27	5	42	25	10
34	8	23	47	24	21	34	20	34	22	13	12	18	13	9	0	12	30	16	12	13	27	27	30	17	32	9	27	36	13
46	18	22	10	16	10	23	23	32	30	10	8	12	7	22	12	0	35	23	12	35	16	23	34	33	23	19	22	30	8
39	57	25	43	24	45	35	50	24	46	20	30	16	32	54	30	35	0	22	17	28	17	29	22	22	34	29	35	27	12
19	11	28	33	23	21	21	35	21	19	22	15	31	22	11	16	23	22	0	32	33	20	29	16	32	48	25	47	37	19
45	13	11	15	18	6	19	13	25	26	10	5	16	8	11	12	12	17	32	0	24	5	11	20	23	8	18	16	29	6
30	13	36	41	22	32	40	46	44	51	30	29	21	18	13	13	35	28	33	24	0	29	46	22	9	28	9	22	12	31
27	32	5	11	10	12	20	6	12	12	18	15	12	16	31	27	16	17	20	5	29	0	9	24	47	20	29	19	36	12
27	27	12	5	18	23	17	10	21	11	14	17	23	10	23	27	23	29	29	11	46	9	0	24	24	13	28	18	33	21
15	20	23	43	18	19	19	40	36	34	24	27	33	26	21	30	34	22	16	20	22	24	24	0	22	43	12	39	21	35
59	24	47	32	34	28	39	26	42	50	24	26	27	27	21	17	33	22	32	23	9	47	24	22	0	30	7	21	9	23
35	20	14	11	22	18	11	9	16	33	10	23	18	23	27	32	23	34	48	8	28	20	13	43	30	0	16	9	58	23
45	10	24	25	33	14	26	20	24	29	17	8	16	16	5	9	19	29	25	18	9	29	28	12	7	16	0	23	35	7
34	26	17	7	17	26	12	9	13	21	27	33	6	14	42	27	22	35	47	16	22	19	18	39	21	9	23	0	49	22
56	32	25	44	32	26	39	47	26	32	27	30	30	22	25	36	30	27	37	29	12	36	33	21	9	58	35	49	0	35
44	11	13	25	24	5	20	22	33	18	10	11	14	11	10	13	8	12	19	6	31	12	21	35	23	23	7	22	35	0
