0	38	21	24	39	21	15	40	23	24	32	21	28	33	32	5	36	16	32	23
38	0	20	5	10	37	24	19	13	5	38	13	29	22	12	23	18	25	28	12
21	20	0	28	15	6	19	19	30	18	11	21	5	8	26	28	11	8	5	6
24	5	28	0	8	24	13	5	13	10	30	12	17	27	9	16	15	24	24	17
39	10	15	8	0	47	13	13	19	9	31	14	36	15	17	25	26	27	23	12
21	37	6	24	47	0	26	39	35	25	7	24	6	29	25	22	20	7	16	29
15	24	19	13	13	26	0	10	10	10	49	8	35	15	11	10	16	25	26	12
40	19	19	5	13	39	10	0	15	8	39	15	30	24	6	16	18	22	32	14
23	13	30	13	19	35	10	15	0	19	36	7	19	28	18	13	19	23	18	12
24	5	18	10	9	25	10	8	19	0	22	20	39	25	18	20	16	26	16	12
32	38	11	30	31	7	49	39	36	22	0	22	10	20	26	30	18	11	7	14
21	13	21	12	14	24	8	15	7	20	22	0	31	35	10	12	23	34	39	15
28	29	5	17	36	6	35	30	19	39	10	31	0	10	36	22	26	11	7	19
33	22	8	27	15	29	15	24	28	25	20	35	10	0	14	28	9	19	19	8
32	12	26	9	17	25	11	6	18	18	26	10	36	14	0	17	17	26	28	16
5	23	28	16	25	22	10	16	13	20	30	12	22	28	17	0	26	23	21	20
36	18	11	15	26	20	16	18	19	16	18	23	26	9	17	26	0	11	14	8
16	25	8	24	27	7	25	22	23	26	11	34	11	19	26	23	11	0	6	16
32	28	5	24	23	16	26	32	18	16	7	39	7	19	28	21	14	6	0	16
23	12	6	17	12	29	12	14	12	12	14	15	19	8	16	20	8	16	16	0
