0	22	28	21	11	29	38	30	29	25	17	16	30	24	35	36	36	38	24	14
22	0	26	6	28	12	15	28	20	6	12	27	12	5	8	7	5	14	25	12
28	26	0	37	11	19	31	5	13	24	20	11	18	38	18	21	14	6	5	36
21	6	37	0	28	22	6	24	33	8	17	38	26	7	18	16	24	17	23	19
11	28	11	28	0	14	49	9	7	23	19	5	20	19	12	23	16	13	19	17
29	12	19	22	14	0	48	18	16	23	20	30	23	33	19	36	13	19	9	32
38	15	31	6	49	48	0	29	31	7	15	31	15	11	18	6	14	27	18	20
30	28	5	24	9	18	29	0	8	34	22	9	28	28	18	20	22	15	15	29
29	20	13	33	7	16	31	8	0	28	19	9	19	37	17	33	29	14	14	16
25	6	24	8	23	23	7	34	28	0	22	33	16	11	15	9	18	27	24	25
17	12	20	17	19	20	15	22	19	22	0	24	8	18	9	16	8	14	18	24
16	27	11	38	5	30	31	9	9	33	24	0	20	35	16	15	13	7	16	21
30	12	18	26	20	23	15	28	19	16	8	20	0	19	7	19	7	6	14	19
24	5	38	7	19	33	11	28	37	11	18	35	19	0	16	7	11	28	28	16
35	8	18	18	12	19	18	18	17	15	9	16	7	16	0	13	5	9	19	25
36	7	21	16	23	36	6	20	33	9	16	15	19	7	13	0	20	27	29	19
36	5	14	24	16	13	14	22	29	18	8	13	7	11	5	20	0	9	17	22
38	14	6	17	13	19	27	15	14	27	14	7	6	28	9	27	9	0	6	27
24	25	5	23	19	9	18	15	14	24	18	16	14	28	19	29	17	6	0	32
14	12	36	19	17	32	20	29	16	25	24	21	19	16	25	19	22	27	32	0
