0	16	18	28	15	22	22	16	25	29	16	11	26	18	23	34	34	22	24	20
16	0	18	5	20	15	19	26	23	8	11	23	20	6	9	10	8	17	29	13
18	18	0	41	10	11	28	8	18	21	25	18	16	28	15	25	11	8	9	31
28	5	41	0	27	23	8	24	28	5	24	21	20	7	23	18	21	20	39	19
15	20	10	27	0	17	30	8	8	28	11	7	12	18	11	33	10	14	10	12
22	15	11	23	17	0	34	13	12	31	28	29	30	31	14	21	16	20	8	27
22	19	28	8	30	34	0	26	33	10	17	24	17	19	18	10	18	19	27	20
16	26	8	24	8	13	26	0	6	39	16	8	26	32	16	23	20	16	18	20
25	23	18	28	8	12	33	6	0	32	16	9	24	29	18	37	27	19	11	28
29	8	21	5	28	31	10	39	32	0	16	32	21	12	20	7	16	26	25	15
16	11	25	24	11	28	17	16	16	16	0	27	9	13	8	16	7	17	20	18
11	23	18	21	7	29	24	8	9	32	27	0	10	34	19	15	12	8	14	21
26	20	16	20	12	30	17	26	24	21	9	10	0	11	8	16	8	7	18	28
18	6	28	7	18	31	19	32	29	12	13	34	11	0	15	7	18	18	21	13
23	9	15	23	11	14	18	16	18	20	8	19	8	15	0	15	8	9	10	24
34	10	25	18	33	21	10	23	37	7	16	15	16	7	15	0	13	19	22	16
34	8	11	21	10	16	18	20	27	16	7	12	8	18	8	13	0	7	11	25
22	17	8	20	14	20	19	16	19	26	17	8	7	18	9	19	7	0	9	27
24	29	9	39	10	8	27	18	11	25	20	14	18	21	10	22	11	9	0	25
20	13	31	19	12	27	20	20	28	15	18	21	28	13	24	16	25	27	25	0
