630	900	1	30	
360	630	2	30	
900	1170	3	30	
630	900	1	60	
630	900	1	90	
900	1170	1	60	
900	1170	2	75	
360	630	2	75	
360	1170	1	60	
900	1170	1	90	
900	1170	1	30	
360	1170	3	30	
360	1170	2	60	
630	900	1	45	
360	1170	3	45	
630	900	1	30	
630	900	1	30	
900	1170	1	30	
630	900	3	45	
360	1170	1	60	
630	900	3	60	
900	1170	1	90	
630	900	1	30	
900	1170	1	30	
630	900	2	30	
900	1170	1	30	
630	900	1	90	
630	900	1	30	
630	900	3	30	
900	1170	2	75	
360	1170	1	75	
360	1170	2	30	
900	1170	1	30	
360	630	1	90	
630	900	1	60	
900	1170	1	30	
900	1170	1	75	
630	900	2	30	
360	630	1	30	
360	1170	1	45	
360	630	2	30	
360	630	1	30	
630	900	1	90	
630	900	1	90	
360	630	1	60	
360	1170	3	30	
900	1170	1	30	
360	630	1	60	
360	630	1	60	
360	1170	1	60	
630	900	1	30	
900	1170	1	120	
630	900	1	60	
900	1170	3	30	
360	630	1	30	
630	900	2	90	
360	1170	2	90	
360	1170	3	45	
900	1170	3	30	
360	630	3	45	
630	900	2	90	
360	1170	2	30	
360	630	1	90	
630	900	1	120	
900	1170	1	75	
630	900	1	30	
900	1170	1	60	
360	630	1	120	
630	900	1	60	
900	1170	3	45	
360	1170	3	45	
360	630	1	30	
630	900	1	90	
630	900	1	60	
630	900	1	90	
