0	49	28	27	23	41	30	25	13	41	32	21	10	40	18	53	26	28	11	24	9	17	27	12	49	50	11	29	24	26
49	0	19	43	59	55	17	30	56	26	18	22	21	25	24	68	25	27	27	21	24	27	7	30	32	44	41	42	44	53
28	19	0	49	23	26	16	38	16	26	16	13	6	18	8	50	18	21	20	8	9	9	17	29	48	24	17	28	18	38
27	43	49	0	14	6	45	23	32	29	49	25	40	29	41	29	20	32	20	21	20	22	45	23	46	27	34	7	32	12
23	59	23	14	0	12	34	39	32	21	32	49	36	21	25	33	36	30	15	21	33	28	59	30	43	24	27	13	28	7
41	55	26	6	12	0	36	25	42	17	46	22	36	19	44	26	22	26	16	31	40	35	39	34	25	22	28	7	42	12
30	17	16	45	34	36	0	22	49	28	20	17	23	8	28	39	25	15	28	27	22	16	17	48	30	27	33	30	37	47
25	30	38	23	39	25	22	0	45	8	25	18	20	14	25	20	6	10	41	22	23	11	24	49	20	5	59	15	36	35
13	56	16	32	32	42	49	45	0	30	41	27	28	50	17	67	34	48	13	18	14	26	52	17	44	65	9	37	26	35
41	26	26	29	21	17	28	8	30	0	24	15	20	5	30	23	6	17	35	21	25	12	39	26	15	9	51	30	35	32
32	18	16	49	32	46	20	25	41	24	0	15	25	15	20	44	38	26	31	28	22	22	16	49	30	44	42	41	31	57
21	22	13	25	49	22	17	18	27	15	15	0	13	7	18	46	5	9	24	12	26	16	20	21	27	11	37	19	35	32
10	21	6	40	36	36	23	20	28	20	25	13	0	28	7	58	21	30	13	5	6	8	20	19	44	31	22	22	19	38
40	25	18	29	21	19	8	14	50	5	15	7	28	0	28	40	6	10	38	26	29	13	11	40	25	13	47	17	35	39
18	24	8	41	25	44	28	25	17	30	20	18	7	28	0	54	30	32	26	17	13	18	21	21	42	40	26	46	20	38
53	68	50	29	33	26	39	20	67	23	44	46	58	40	54	0	24	42	28	47	57	34	39	58	35	26	57	21	60	27
26	25	18	20	36	22	25	6	34	6	38	5	21	6	30	24	0	16	28	17	21	18	32	42	20	7	31	29	40	31
28	27	21	32	30	26	15	10	48	17	26	9	30	10	32	42	16	0	30	19	33	15	20	29	25	18	42	23	39	30
11	27	20	20	15	16	28	41	13	35	31	24	13	38	26	28	28	30	0	19	17	26	37	17	33	41	10	16	27	19
24	21	8	21	21	31	27	22	18	21	28	12	5	26	17	47	17	19	19	0	7	9	24	23	42	23	20	23	17	27
9	24	9	20	33	40	22	23	14	25	22	26	6	29	13	57	21	33	17	7	0	15	32	16	41	38	11	34	18	39
17	27	9	22	28	35	16	11	26	12	22	16	8	13	18	34	18	15	26	9	15	0	22	26	36	22	39	21	28	27
27	7	17	45	59	39	17	24	52	39	16	20	20	11	21	39	32	20	37	24	32	22	0	48	36	24	40	32	29	45
12	30	29	23	30	34	48	49	17	26	49	21	19	40	21	58	42	29	17	23	16	26	48	0	56	48	10	31	36	38
49	32	48	46	43	25	30	20	44	15	30	27	44	25	42	35	20	25	33	42	41	36	36	56	0	29	44	39	35	43
50	44	24	27	24	22	27	5	65	9	44	11	31	13	40	26	7	18	41	23	38	22	24	48	29	0	57	18	33	20
11	41	17	34	27	28	33	59	9	51	42	37	22	47	26	57	31	42	10	20	11	39	40	10	44	57	0	32	32	24
29	42	28	7	13	7	30	15	37	30	41	19	22	17	46	21	29	23	16	23	34	21	32	31	39	18	32	0	38	18
24	44	18	32	28	42	37	36	26	35	31	35	19	35	20	60	40	39	27	17	18	28	29	36	35	33	32	38	0	46
26	53	38	12	7	12	47	35	35	32	57	32	38	39	38	27	31	30	19	27	39	27	45	38	43	20	24	18	46	0
